Dark spectrum
Integration time [ms]:  25,000
Averaging Nr. [scans]: 15
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1804344U2
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 
319,592;   20,623;   20,623;    0,000
319,760;    8,989;    8,989;    0,000
319,928;   -8,837;   -8,837;    0,000
320,096;   24,505;   24,505;    0,000
320,263;   -8,035;   -8,035;    0,000
320,431;  -18,372;  -18,372;    0,000
320,599;    9,347;    9,347;    0,000
320,767;   13,815;   13,815;    0,000
320,935;    3,483;    3,483;    0,000
321,103;   -2,850;   -2,850;    0,000
321,270;    6,249;    6,249;    0,000
321,438;    4,897;    4,897;    0,000
321,606;    3,489;    3,489;    0,000
321,774;   16,024;   16,024;    0,000
321,941;   -7,113;   -7,113;    0,000
322,109;   16,604;   16,604;    0,000
322,277;   10,560;   10,560;    0,000
322,445;   18,723;   18,723;    0,000
322,612;    3,655;    3,655;    0,000
322,780;    3,411;    3,411;    0,000
322,948;   13,760;   13,760;    0,000
323,116;   -7,128;   -7,128;    0,000
323,283;    7,192;    7,192;    0,000
323,451;   11,093;   11,093;    0,000
323,619;   -4,021;   -4,021;    0,000
323,786;  -21,577;  -21,577;    0,000
323,954;    6,782;    6,782;    0,000
324,122;    9,833;    9,833;    0,000
324,289;   18,437;   18,437;    0,000
324,457;    2,824;    2,824;    0,000
324,625;   -2,482;   -2,482;    0,000
324,792;  -13,637;  -13,637;    0,000
324,960;   -3,521;   -3,521;    0,000
325,128;  -15,804;  -15,804;    0,000
325,295;    5,690;    5,690;    0,000
325,463;   11,012;   11,012;    0,000
325,631;    5,043;    5,043;    0,000
325,798;   13,798;   13,798;    0,000
325,966;   -9,655;   -9,655;    0,000
326,133;   12,300;   12,300;    0,000
326,301;    7,034;    7,034;    0,000
326,469;   -7,760;   -7,760;    0,000
326,636;   -8,343;   -8,343;    0,000
326,804;   -8,928;   -8,928;    0,000
326,971;    6,394;    6,394;    0,000
327,139;   16,763;   16,763;    0,000
327,306;  -10,846;  -10,846;    0,000
327,474;    0,513;    0,513;    0,000
327,641;    7,942;    7,942;    0,000
327,809;   -0,212;   -0,212;    0,000
327,977;   12,487;   12,487;    0,000
328,144;   -6,173;   -6,173;    0,000
328,312;   21,512;   21,512;    0,000
328,479;   -9,483;   -9,483;    0,000
328,647;   29,872;   29,872;    0,000
328,814;    9,880;    9,880;    0,000
328,982;   -8,719;   -8,719;    0,000
329,149;  -16,936;  -16,936;    0,000
329,317;   17,166;   17,166;    0,000
329,484;   -4,903;   -4,903;    0,000
329,652;   24,958;   24,958;    0,000
329,819;   -3,887;   -3,887;    0,000
329,986;   26,470;   26,470;    0,000
330,154;    6,223;    6,223;    0,000
330,321;   13,138;   13,138;    0,000
330,489;   -1,581;   -1,581;    0,000
330,656;  -10,370;  -10,370;    0,000
330,824;  -12,884;  -12,884;    0,000
330,991;   -0,072;   -0,072;    0,000
331,159;   12,100;   12,100;    0,000
331,326;   19,367;   19,367;    0,000
331,493;   -8,650;   -8,650;    0,000
331,661;    9,625;    9,625;    0,000
331,828;    1,833;    1,833;    0,000
331,995;   11,326;   11,326;    0,000
332,163;   -5,628;   -5,628;    0,000
332,330;   -3,562;   -3,562;    0,000
332,498;    1,085;    1,085;    0,000
332,665;  -12,582;  -12,582;    0,000
332,832;   -6,493;   -6,493;    0,000
333,000;   12,383;   12,383;    0,000
333,167;   -0,482;   -0,482;    0,000
333,334;    0,262;    0,262;    0,000
333,502;   10,923;   10,923;    0,000
333,669;  -20,627;  -20,627;    0,000
333,836;   -6,212;   -6,212;    0,000
334,004;   -0,753;   -0,753;    0,000
334,171;   -0,295;   -0,295;    0,000
334,338;   14,313;   14,313;    0,000
334,505;    6,235;    6,235;    0,000
334,673;   13,590;   13,590;    0,000
334,840;   -3,081;   -3,081;    0,000
335,007;   -1,083;   -1,083;    0,000
335,174;   -0,760;   -0,760;    0,000
335,342;   19,093;   19,093;    0,000
335,509;   -4,917;   -4,917;    0,000
335,676;   12,934;   12,934;    0,000
335,844;    2,476;    2,476;    0,000
336,011;   17,009;   17,009;    0,000
336,178;    0,257;    0,257;    0,000
336,345;  -10,120;  -10,120;    0,000
336,512;    3,596;    3,596;    0,000
336,680;  -12,622;  -12,622;    0,000
336,847;   11,592;   11,592;    0,000
337,014;   25,717;   25,717;    0,000
337,181;   -2,704;   -2,704;    0,000
337,348;    1,030;    1,030;    0,000
337,516;   17,955;   17,955;    0,000
337,683;   11,459;   11,459;    0,000
337,850;    1,231;    1,231;    0,000
338,017;   12,921;   12,921;    0,000
338,184;  -31,444;  -31,444;    0,000
338,351;   24,723;   24,723;    0,000
338,518;   -9,484;   -9,484;    0,000
338,686;   11,865;   11,865;    0,000
338,853;   -5,976;   -5,976;    0,000
339,020;    1,820;    1,820;    0,000
339,187;   -4,607;   -4,607;    0,000
339,354;   -6,840;   -6,840;    0,000
339,521;   -4,355;   -4,355;    0,000
339,688;   -1,636;   -1,636;    0,000
339,855;    2,809;    2,809;    0,000
340,022;   -6,601;   -6,601;    0,000
340,189;   -1,977;   -1,977;    0,000
340,356;   19,428;   19,428;    0,000
340,523;   19,883;   19,883;    0,000
340,691;   -1,437;   -1,437;    0,000
340,858;    6,435;    6,435;    0,000
341,025;   12,658;   12,658;    0,000
341,192;    7,171;    7,171;    0,000
341,359;    5,638;    5,638;    0,000
341,526;  -15,271;  -15,271;    0,000
341,693;    5,815;    5,815;    0,000
341,860;    3,426;    3,426;    0,000
342,027;    9,520;    9,520;    0,000
342,194;  -12,149;  -12,149;    0,000
342,361;    7,650;    7,650;    0,000
342,528;   18,924;   18,924;    0,000
342,695;   -4,085;   -4,085;    0,000
342,862;    9,977;    9,977;    0,000
343,029;   -2,395;   -2,395;    0,000
343,196;    0,789;    0,789;    0,000
343,362;   -5,595;   -5,595;    0,000
343,529;   13,662;   13,662;    0,000
343,696;    8,794;    8,794;    0,000
343,863;    0,628;    0,628;    0,000
344,030;  -12,146;  -12,146;    0,000
344,197;  -12,239;  -12,239;    0,000
344,364;    9,207;    9,207;    0,000
344,531;   -6,776;   -6,776;    0,000
344,698;  -21,080;  -21,080;    0,000
344,865;   -8,626;   -8,626;    0,000
345,032;   20,368;   20,368;    0,000
345,199;   13,084;   13,084;    0,000
345,365;   -0,429;   -0,429;    0,000
345,532;   10,102;   10,102;    0,000
345,699;   10,972;   10,972;    0,000
345,866;   12,357;   12,357;    0,000
346,033;    4,323;    4,323;    0,000
346,200;   -3,464;   -3,464;    0,000
346,366;    8,054;    8,054;    0,000
346,533;   17,486;   17,486;    0,000
346,700;   21,307;   21,307;    0,000
346,867;   -4,810;   -4,810;    0,000
347,034;  -19,192;  -19,192;    0,000
347,201;    0,711;    0,711;    0,000
347,367;    7,257;    7,257;    0,000
347,534;    1,827;    1,827;    0,000
347,701;   10,733;   10,733;    0,000
347,868;  -11,884;  -11,884;    0,000
348,034;   14,175;   14,175;    0,000
348,201;   -9,606;   -9,606;    0,000
348,368;    8,437;    8,437;    0,000
348,535;   11,035;   11,035;    0,000
348,701;    2,070;    2,070;    0,000
348,868;  -38,859;  -38,859;    0,000
349,035;   -7,822;   -7,822;    0,000
349,202;   -2,505;   -2,505;    0,000
349,368;  -17,123;  -17,123;    0,000
349,535;   17,770;   17,770;    0,000
349,702;   -8,452;   -8,452;    0,000
349,868;    9,821;    9,821;    0,000
350,035;    3,917;    3,917;    0,000
350,202;   13,520;   13,520;    0,000
350,369;   -8,662;   -8,662;    0,000
350,535;  -22,177;  -22,177;    0,000
350,702;    3,817;    3,817;    0,000
350,869;    0,994;    0,994;    0,000
351,035;    5,220;    5,220;    0,000
351,202;   28,237;   28,237;    0,000
351,368;   14,809;   14,809;    0,000
351,535;    0,931;    0,931;    0,000
351,702;    4,169;    4,169;    0,000
351,868;   11,777;   11,777;    0,000
352,035;   -0,280;   -0,280;    0,000
352,202;   -7,816;   -7,816;    0,000
352,368;   -9,534;   -9,534;    0,000
352,535;  -10,036;  -10,036;    0,000
352,701;   19,859;   19,859;    0,000
352,868;   -4,467;   -4,467;    0,000
353,035;   19,530;   19,530;    0,000
353,201;   14,140;   14,140;    0,000
353,368;    9,334;    9,334;    0,000
353,534;    9,824;    9,824;    0,000
353,701;   15,104;   15,104;    0,000
353,867;   -0,130;   -0,130;    0,000
354,034;   12,140;   12,140;    0,000
354,200;   11,499;   11,499;    0,000
354,367;   11,017;   11,017;    0,000
354,533;    1,253;    1,253;    0,000
354,700;    3,121;    3,121;    0,000
354,866;   -1,395;   -1,395;    0,000
355,033;   17,986;   17,986;    0,000
355,199;    8,026;    8,026;    0,000
355,366;   -0,664;   -0,664;    0,000
355,532;   14,996;   14,996;    0,000
355,699;   26,236;   26,236;    0,000
355,865;   -5,593;   -5,593;    0,000
356,032;   -4,384;   -4,384;    0,000
356,198;    8,223;    8,223;    0,000
356,365;   19,917;   19,917;    0,000
356,531;    1,969;    1,969;    0,000
356,698;    9,467;    9,467;    0,000
356,864;    3,982;    3,982;    0,000
357,030;    9,029;    9,029;    0,000
357,197;   13,673;   13,673;    0,000
357,363;   13,965;   13,965;    0,000
357,530;   -9,740;   -9,740;    0,000
357,696;   42,098;   42,098;    0,000
357,862;   -2,981;   -2,981;    0,000
358,029;    3,003;    3,003;    0,000
358,195;    1,936;    1,936;    0,000
358,362;    8,097;    8,097;    0,000
358,528;    2,774;    2,774;    0,000
358,694;    6,821;    6,821;    0,000
358,861;   -8,896;   -8,896;    0,000
359,027;   12,146;   12,146;    0,000
359,193;    7,993;    7,993;    0,000
359,360;    2,954;    2,954;    0,000
359,526;   10,184;   10,184;    0,000
359,692;   28,542;   28,542;    0,000
359,859;  -23,529;  -23,529;    0,000
360,025;   -5,228;   -5,228;    0,000
360,191;   -3,341;   -3,341;    0,000
360,357;   -5,026;   -5,026;    0,000
360,524;   10,454;   10,454;    0,000
360,690;   28,489;   28,489;    0,000
360,856;   -9,372;   -9,372;    0,000
361,023;   10,645;   10,645;    0,000
361,189;   15,522;   15,522;    0,000
361,355;   -6,063;   -6,063;    0,000
361,521;    3,499;    3,499;    0,000
361,688;   15,752;   15,752;    0,000
361,854;   13,129;   13,129;    0,000
362,020;  -12,503;  -12,503;    0,000
362,186;   -5,105;   -5,105;    0,000
362,352;   -8,118;   -8,118;    0,000
362,519;   21,208;   21,208;    0,000
362,685;   25,016;   25,016;    0,000
362,851;   -6,392;   -6,392;    0,000
363,017;    9,142;    9,142;    0,000
363,183;   17,256;   17,256;    0,000
363,350;    5,397;    5,397;    0,000
363,516;   -6,621;   -6,621;    0,000
363,682;    3,628;    3,628;    0,000
363,848;   27,802;   27,802;    0,000
364,014;  -14,283;  -14,283;    0,000
364,180;   16,709;   16,709;    0,000
364,347;   11,198;   11,198;    0,000
364,513;   -6,839;   -6,839;    0,000
364,679;   -1,187;   -1,187;    0,000
364,845;    8,260;    8,260;    0,000
365,011;   -2,833;   -2,833;    0,000
365,177;  -16,355;  -16,355;    0,000
365,343;  -17,133;  -17,133;    0,000
365,509;   -1,469;   -1,469;    0,000
365,675;   25,164;   25,164;    0,000
365,841;   -3,660;   -3,660;    0,000
366,008;    2,157;    2,157;    0,000
366,174;    7,481;    7,481;    0,000
366,340;   22,414;   22,414;    0,000
366,506;   10,096;   10,096;    0,000
366,672;   15,634;   15,634;    0,000
366,838;    3,895;    3,895;    0,000
367,004;   -3,194;   -3,194;    0,000
367,170;    6,711;    6,711;    0,000
367,336;    0,127;    0,127;    0,000
367,502;  -22,121;  -22,121;    0,000
367,668;   19,922;   19,922;    0,000
367,834;   -5,311;   -5,311;    0,000
368,000;    7,714;    7,714;    0,000
368,166;  -10,468;  -10,468;    0,000
368,332;    3,041;    3,041;    0,000
368,498;   13,432;   13,432;    0,000
368,664;   -2,135;   -2,135;    0,000
368,830;   15,338;   15,338;    0,000
368,996;   24,099;   24,099;    0,000
369,162;    9,616;    9,616;    0,000
369,328;    3,754;    3,754;    0,000
369,493;  -12,074;  -12,074;    0,000
369,659;   30,855;   30,855;    0,000
369,825;   20,024;   20,024;    0,000
369,991;    6,739;    6,739;    0,000
370,157;   -7,288;   -7,288;    0,000
370,323;   12,087;   12,087;    0,000
370,489;   -2,606;   -2,606;    0,000
370,655;    5,936;    5,936;    0,000
370,821;   -5,789;   -5,789;    0,000
370,987;    7,572;    7,572;    0,000
371,152;   -5,795;   -5,795;    0,000
371,318;   -9,125;   -9,125;    0,000
